Scheduled,Reported,Event,Duration,Label,Stimulus
0,0.052356,1,6,emot,9181.jpg
6,6.0301,1,6,emot,1050.jpg
12,12.0245,1,6,emot,3150.jpg
18,18.019,2,6,neut,6150.jpg
24,24.0134,0,8,NULL,Fixation
32,32.0116,2,6,neut,7140.jpg
38,38.006,0,2,NULL,Fixation
40,40.0097,2,6,neut,7050.jpg
46,46.0209,1,6,emot,6210.jpg
52,52.0153,2,6,neut,1620.jpg
58,58.0097,0,6,NULL,Fixation
64,64.0209,2,6,neut,1600.jpg
70,70.0153,1,6,emot,3130.jpg
76,76.0098,0,2,NULL,Fixation
78,78.0135,1,6,emot,9920.jpg
84,84.0246,2,6,neut,7030.jpg
90,90.0191,2,6,neut,2840.jpg
96,96.0135,1,6,emot,2730.jpg
102,102.008,0,4,NULL,Fixation
106,106.0154,1,6,emot,6510.jpg
112,112.0099,1,6,emot,9530.jpg
118,118.0043,0,6,NULL,Fixation
124,124.0155,2,6,neut,7035.jpg
130,130.0099,0,2,NULL,Fixation
132,132.0136,1,6,emot,3060.jpg
138,138.0081,0,10,NULL,Fixation
148,148.01,1,6,emot,3010.jpg
154,154.0045,0,6,NULL,Fixation
160,160.0156,1,6,emot,2053.jpg
166,166.0101,0,6,NULL,Fixation
172,172.0213,1,6,emot,6312.jpg
178,178.0157,0,4,NULL,Fixation
182,182.0232,1,6,emot,3530.jpg
188,188.0009,0,4,NULL,Fixation
192,192.0251,2,6,neut,7002.jpg
198,198.0196,2,6,neut,7510.jpg
204,204.014,0,10,NULL,Fixation
214,214.0159,2,6,neut,7620.jpg
220,220.0104,0,4,NULL,Fixation
224,224.0179,1,6,emot,9300.jpg
